,ftm-per-100-possessions2,ftm-per-100-possessions,ST/Pos,ST/Pos2,Margin2,Margin,Last 102,TS%M2,Last 10,FG%M2,TS%M,BL%2,FG%M,BL%,CGWin%2,CGWin%,Ind,SOS2,SOS,TOM2,TOM,Team1Win
90,25.651,19.256,0.105,0.08199999999999999,13.4,10.4,27.2,0.189,23.7,0.093,0.141,0.123,0.063,0.087,1.0,0.429,90,3,34,-0.015,0.048,0
91,23.09,20.618,0.14,0.127,17.2,13.6,22.8,0.165,27.9,0.081,0.101,0.113,0.052000000000000005,0.069,0.667,0.6,91,31,24,0.042,0.087,1
92,25.651,20.618,0.14,0.08199999999999999,13.4,13.6,27.2,0.189,27.9,0.093,0.101,0.123,0.052000000000000005,0.069,1.0,0.6,92,3,24,-0.015,0.087,0
93,22.704,19.724,0.103,0.113,8.1,13.5,12.2,0.078,27.9,0.054000000000000006,0.109,0.063,0.067,0.068,0.5,0.0,93,210,5,0.036000000000000004,0.017,1
94,21.028,23.551,0.103,0.092,6.4,6.9,23.1,0.015,20.1,0.019,0.076,0.065,0.014,0.043,0.625,0.667,94,19,12,0.023,0.037000000000000005,1
95,21.3,21.89,0.119,0.081,4.6,4.0,16.8,0.02,12.9,-0.008,0.098,0.052000000000000005,0.049,0.103,0.429,0.8,95,38,22,0.025,-0.001,0
96,24.027,16.7,0.111,0.078,10.0,5.1,21.4,0.175,9.7,0.07400000000000001,0.037000000000000005,0.09,-0.005,0.052000000000000005,0.556,0.7,96,50,195,-0.029,0.019,0
97,19.031,20.933000000000003,0.112,0.122,12.7,8.6,20.4,0.109,16.4,0.049,0.123,0.063,0.067,0.084,0.556,0.5,97,21,123,0.052000000000000005,0.024,0
98,25.38,16.42,0.086,0.112,9.5,6.0,19.9,0.097,4.8,0.053,0.128,0.058,0.07200000000000001,0.05,0.75,0.857,98,10,260,0.029,-0.006,0
99,21.841,20.086,0.123,0.08900000000000001,6.9,4.7,21.4,0.042,17.8,0.036000000000000004,0.044,0.098,0.041,0.119,0.444,0.7140000000000001,99,20,46,0.019,0.01,0
100,22.066,25.063,0.12,0.102,3.0,12.5,4.6,0.042,29.2,0.025,0.092,0.076,0.02,0.073,0.875,0.8,100,278,2,0.023,0.058,1
101,19.724,23.551,0.103,0.103,13.5,6.9,27.9,0.109,20.1,0.067,0.076,0.068,0.014,0.043,0.0,0.667,101,5,12,0.017,0.037000000000000005,0
102,24.027,21.3,0.081,0.078,10.0,4.6,21.4,0.175,16.8,0.07400000000000001,0.02,0.09,-0.008,0.052000000000000005,0.556,0.429,102,50,38,-0.029,0.025,0
103,25.38,19.031,0.122,0.112,9.5,12.7,19.9,0.097,20.4,0.053,0.109,0.058,0.049,0.063,0.75,0.556,103,10,21,0.029,0.052000000000000005,0
104,21.841,25.063,0.12,0.08900000000000001,6.9,12.5,21.4,0.042,29.2,0.036000000000000004,0.092,0.098,0.02,0.073,0.444,0.8,104,20,2,0.019,0.058,1
105,19.724,24.027,0.078,0.103,13.5,10.0,27.9,0.109,21.4,0.067,0.175,0.068,0.07400000000000001,0.09,0.0,0.556,105,5,50,0.017,-0.029,0
106,25.063,25.38,0.112,0.12,12.5,9.5,29.2,0.092,19.9,0.02,0.097,0.073,0.053,0.058,0.8,0.75,106,2,10,0.058,0.029,1
107,25.38,19.724,0.103,0.112,9.5,13.5,19.9,0.097,27.9,0.053,0.109,0.058,0.067,0.068,0.75,0.0,107,10,5,0.029,0.017,0
108,25.493,22.326,0.08199999999999999,0.107,16.5,2.2,35.9,0.141,3.0,0.06,0.081,0.081,0.062,0.069,0.5,0.5710000000000001,108,4,214,0.033,-0.054000000000000006,0
109,24.387,21.569000000000006,0.108,0.094,8.8,9.4,19.5,0.147,16.2,0.051,0.09,0.063,0.042,0.106,0.636,1.0,109,80,66,0.005,0.015,1
110,13.491,19.567,0.084,0.08900000000000001,8.0,5.2,21.3,0.14,9.1,0.066,0.055,0.066,0.014,0.058,0.5710000000000001,0.667,110,36,156,0.023,-0.001,1
111,20.929,20.914,0.114,0.107,17.2,5.8,29.7,0.225,14.6,0.119,0.043,0.086,0.012,0.046,0.4,0.3,111,30,141,0.053,0.054000000000000006,0
112,16.925,22.442,0.095,0.083,5.6,9.5,14.8,0.099,21.1,0.042,0.184,0.073,0.073,0.04,0.556,0.5710000000000001,112,63,9,-0.009000000000000001,0.009000000000000001,1
113,16.02,20.318,0.099,0.084,6.0,8.1,18.7,0.063,21.1,0.045,0.149,0.063,0.07400000000000001,0.077,0.778,0.7140000000000001,113,155,6,0.032,-0.009000000000000001,1
114,18.174,18.513,0.129,0.099,3.5,10.7,19.9,0.025,24.0,-0.016,0.093,0.05,0.035,0.101,0.667,0.556,114,35,29,0.036000000000000004,0.041,0
115,18.29,24.639,0.098,0.095,5.4,11.4,3.8,0.021,25.1,0.024,0.17800000000000002,0.059,0.09,0.07400000000000001,0.5,0.75,115,268,14,0.03,-0.014,1
116,25.493,21.569000000000006,0.108,0.107,16.5,9.4,35.9,0.141,16.2,0.06,0.09,0.081,0.042,0.106,0.5,1.0,116,4,66,0.033,0.015,0
117,20.929,19.567,0.084,0.107,17.2,5.2,29.7,0.225,9.1,0.119,0.055,0.086,0.014,0.058,0.4,0.667,117,30,156,0.053,-0.001,0
118,22.442,20.318,0.099,0.095,9.5,8.1,21.1,0.184,21.1,0.073,0.149,0.04,0.07400000000000001,0.077,0.5710000000000001,0.7140000000000001,118,9,6,0.009000000000000001,-0.009000000000000001,1
119,24.639,18.174,0.099,0.098,11.4,3.5,25.1,0.17800000000000002,19.9,0.09,0.025,0.07400000000000001,-0.016,0.05,0.75,0.667,119,14,35,-0.014,0.036000000000000004,0
120,20.929,25.493,0.107,0.107,17.2,16.5,29.7,0.225,35.9,0.119,0.141,0.086,0.06,0.081,0.4,0.5,120,30,4,0.053,0.033,1
121,20.318,24.639,0.098,0.099,8.1,11.4,21.1,0.149,25.1,0.07400000000000001,0.17800000000000002,0.077,0.09,0.07400000000000001,0.7140000000000001,0.75,121,6,14,-0.009000000000000001,-0.014,1
122,24.639,25.493,0.107,0.098,11.4,16.5,25.1,0.17800000000000002,35.9,0.09,0.141,0.07400000000000001,0.06,0.081,0.75,0.5,122,14,4,-0.014,0.033,1
123,25.651,23.578000000000007,0.094,0.08199999999999999,13.4,9.0,27.2,0.189,20.6,0.093,0.05,0.123,0.041,0.054000000000000006,1.0,0.75,123,3,15,-0.015,-0.005,1
124,25.38,25.493,0.107,0.112,9.5,16.5,19.9,0.097,35.9,0.053,0.141,0.058,0.06,0.081,0.75,0.5,124,10,4,0.029,0.033,1
125,23.578000000000007,25.493,0.107,0.094,9.0,16.5,20.6,0.05,35.9,0.041,0.141,0.054000000000000006,0.06,0.081,0.75,0.5,125,15,4,-0.005,0.033,1
126,23.729,24.23,0.086,0.118,18.0,5.1,35.0,0.231,0.4,0.111,0.079,0.108,0.034,0.043,1.0,0.0,126,42,318,0.014,0.006,0
127,23.139,18.492,0.11,0.091,9.0,8.8,16.9,0.094,18.1,0.028,0.09,0.041,0.065,0.068,0.833,0.5710000000000001,127,104,97,0.028,0.046,0
128,21.374,20.866,0.098,0.08199999999999999,0.5,8.9,4.0,0.05,25.0,0.011,0.08800000000000001,0.052000000000000005,0.068,0.056,1.0,0.5710000000000001,128,95,20,0.006999999999999999,-0.018000000000000002,1
129,21.042,21.311,0.129,0.11,11.2,3.7,23.0,0.149,15.8,0.08199999999999999,-0.065,0.07400000000000001,-0.045,0.051,0.6,0.28600000000000003,129,32,108,0.044,0.11,0
130,20.844,19.731,0.113,0.112,7.5,8.7,20.2,0.076,26.5,0.063,0.07200000000000001,0.086,0.059,0.068,0.636,0.8,130,82,36,-0.004,0.048,1
131,23.948,20.7,0.104,0.105,4.9,8.1,16.5,0.067,23.0,0.017,0.159,0.045,0.086,0.085,0.273,0.25,131,141,4,0.031,-0.01,0
132,21.089,19.707,0.109,0.092,6.2,6.8,17.0,0.079,22.0,0.031,0.117,0.046,0.07200000000000001,0.092,0.6,0.667,132,48,6,0.01,-0.021,1
133,22.759,20.226,0.108,0.095,1.6,12.5,7.7,0.07200000000000001,28.6,0.027000000000000003,0.161,0.058,0.084,0.076,0.833,0.5,133,209,38,-0.004,0.039,1
134,23.139,23.729,0.118,0.091,9.0,18.0,16.9,0.094,35.0,0.028,0.231,0.041,0.111,0.108,0.833,1.0,134,104,42,0.028,0.014,0
135,20.866,21.042,0.11,0.098,8.9,11.2,25.0,0.08800000000000001,23.0,0.068,0.149,0.056,0.08199999999999999,0.07400000000000001,0.5710000000000001,0.6,135,20,32,-0.018000000000000002,0.044,0
136,19.731,23.948,0.105,0.113,8.7,4.9,26.5,0.07200000000000001,16.5,0.059,0.067,0.068,0.017,0.045,0.8,0.273,136,36,141,0.048,0.031,0
137,20.226,19.707,0.109,0.108,12.5,6.8,28.6,0.161,22.0,0.084,0.117,0.076,0.07200000000000001,0.092,0.5,0.667,137,38,6,0.039,-0.021,0
138,20.866,23.139,0.091,0.098,8.9,9.0,25.0,0.08800000000000001,16.9,0.068,0.094,0.056,0.028,0.041,0.5710000000000001,0.833,138,20,104,-0.018000000000000002,0.028,0
139,20.226,19.731,0.113,0.108,12.5,8.7,28.6,0.161,26.5,0.084,0.07200000000000001,0.076,0.059,0.068,0.5,0.8,139,38,36,0.039,0.048,1
