,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
61,2008,w kentucky,0.54,20.93,0.35,0.68,0.46,0.959,0.585,0.806,0.5,199,17.7,11.5,1.091,111.9,0.927,97.3,0.164,14.6,76.6,65.1,11.5,1.133,1.036,0.097,0.473,0.417,0.056,0.385,0.706,0.521,0.108,0.197,0.243,0.046,0.07,0.3
62,2008,winthrop,0.50,17.308,0.32,0.74,0.545,0.963,0.535,0.645,0.143,159,14.4,6.3,0.993,99.5,0.897,93.1,0.096,6.4,65.1,58.8,6.3,1.038,0.998,0.04,0.44,0.395,0.045,0.374,0.598,0.521,0.126,0.191,0.224,0.033,0.067,0.263
63,2008,wisconsin,0.51,23.061,0.35,0.74,0.539,0.975,0.628,0.875,0.625,47,27.3,13.6,1.061,113.5,0.847,86.8,0.214,26.7,67.5,53.9,13.6,1.086,0.925,0.161,0.459,0.379,0.08,0.354,0.708,0.545,0.099,0.186,0.216,0.03,0.064,0.226
64,2008,xavier,0.55,25.384,0.35,0.72,0.603,0.957,0.634,0.818,0.714,78,25.7,13,1.133,117.3,0.937,95.2,0.196,22.1,75.3,62.3,13,1.18,0.998,0.182,0.478,0.404,0.074,0.391,0.75,0.546,0.084,0.195,0.192,-0.003,0.064,0.261
65,,averages,,,,,,,0.587307692,0.731815385,0.597861538,111.1846154,18.27692308,8.161538462,1.061246154,111.5446154,0.943738462,96.63076923,0.117507692,14.91384615,73.65384615,65.49692308,8.156923077,1.109830769,1.013461538,0.096369231,0.459292308,0.417123077,0.042169231,0.368292308,0.700692308,0.518692308,0.100661538,0.188723077,0.206538462,0.017815385,0.069015385,0.255153846
0,2009,duke,0.51,25.063,0.37,0.69,0.505,1.002,0.668,0.818,0.8,2,29.2,12.5,1.093,117.5,0.918,93.2,0.175,24.3,78,65.5,12.5,1.1,1.008,0.092,0.449,0.429,0.02,0.344,0.723,0.524,0.12,0.173,0.231,0.058,0.073,0.213
1,2009,pittsburgh,0.53,19.724,0.42,0.73,0.612,1.022,0.667,0.871,0,5,27.9,13.5,1.142,121.2,0.943,92.3,0.199,28.9,77.7,64.2,13.5,1.114,1.005,0.109,0.481,0.414,0.067,0.358,0.673,0.571,0.103,0.167,0.184,0.017,0.068,0.255
2,2009,n carolina,0.53,25.493,0.38,0.70,0.57,1.006,0.653,0.871,0.5,4,35.9,16.5,1.151,123.2,0.939,92.1,0.212,31.1,89.4,72.9,16.5,1.142,1.001,0.141,0.475,0.415,0.06,0.373,0.766,0.548,0.107,0.167,0.2,0.033,0.081,0.215
3,2009,oklahoma,0.55,24.639,0.36,0.71,0.531,0.961,0.646,0.844,0.75,14,25.1,11.4,1.115,118.3,0.954,93.7,0.161,24.6,79.2,67.8,11.4,1.159,0.981,0.178,0.488,0.398,0.09,0.356,0.68,0.539,0.098,0.19,0.176,-0.014,0.074,0.218
4,2009,louisville,0.53,17.042,0.34,0.70,0.622,0.971,0.646,0.849,0.8,7,25.7,12.3,1.051,111.2,0.876,85.2,0.175,26,73.9,61.6,12.3,1.08,0.952,0.128,0.451,0.394,0.057,0.36,0.644,0.517,0.13,0.186,0.226,0.04,0.11,0.226
5,2009,michigan st,0.50,23.578,0.40,0.76,0.635,0.978,0.645,0.812,0.75,15,20.6,9,1.056,114.3,0.924,89.9,0.132,24.4,71.9,62.9,9,1.076,1.026,0.05,0.455,0.414,0.041,0.353,0.687,0.573,0.094,0.203,0.198,-0.005,0.054,0.261
6,2009,memphis,0.50,23.09,0.37,0.72,0.537,0.992,0.644,0.912,0.667,31,22.8,17.2,1.062,112.8,0.816,84.2,0.246,28.6,74.1,56.9,17.2,1.062,0.897,0.165,0.443,0.362,0.081,0.32,0.696,0.542,0.127,0.176,0.218,0.042,0.113,0.249
7,2009,connecticut,0.51,25.651,0.40,0.73,0.568,1.002,0.643,0.871,1,3,27.2,13.4,1.087,116,0.899,86.8,0.188,29.2,77.3,64,13.3,1.093,0.904,0.189,0.47,0.377,0.093,0.347,0.676,0.557,0.082,0.177,0.162,-0.015,0.123,0.265
8,2009,utah,0.55,23.194,0.27,0.78,0.558,0.905,0.632,0.75,0.571,51,17.7,7.5,1.061,110.8,0.948,92.9,0.113,17.9,71,63.5,7.5,1.187,0.984,0.203,0.477,0.4,0.077,0.376,0.787,0.536,0.075,0.2,0.155,-0.045,0.09,0.235
9,2009,missouri,0.53,20.618,0.33,0.67,0.617,0.999,0.631,0.818,0.6,24,27.9,13.6,1.092,116.6,0.907,91.8,0.185,24.8,80.3,66.8,13.5,1.104,1.003,0.101,0.47,0.418,0.052,0.357,0.662,0.496,0.14,0.164,0.251,0.087,0.069,0.259
10,2009,kansas,0.53,22.809,0.35,0.73,0.58,0.942,0.63,0.781,0.333,13,23.2,11.3,1.085,114.5,0.926,90.7,0.159,23.8,77.1,65.8,11.3,1.148,0.982,0.166,0.48,0.388,0.092,0.378,0.73,0.551,0.098,0.208,0.189,-0.019,0.078,0.213
11,2009,syracuse,0.54,20.318,0.34,0.66,0.616,0.95,0.625,0.735,0.714,6,21.1,8.1,1.079,117,0.972,94.8,0.107,22.2,81,72.9,8.1,1.13,0.981,0.149,0.487,0.413,0.074,0.354,0.64,0.513,0.099,0.192,0.183,-0.009,0.077,0.247
12,2009,villanova,0.51,25.38,0.35,0.73,0.557,0.972,0.624,0.788,0.75,10,19.9,9.5,1.072,114.4,0.938,90.5,0.134,23.9,76.5,67,9.5,1.119,1.022,0.097,0.457,0.404,0.053,0.368,0.742,0.531,0.112,0.184,0.213,0.029,0.058,0.223
13,2009,washington,0.49,25.28,0.41,0.71,0.464,0.984,0.621,0.75,0.714,17,20,8.8,1.054,113.1,0.937,91,0.117,22.1,78.7,69.9,8.8,1.068,1.007,0.061,0.456,0.423,0.033,0.341,0.698,0.557,0.098,0.197,0.196,-0.001,0.046,0.258
14,2009,florida st,0.49,21.89,0.34,0.67,0.516,0.919,0.62,0.758,0.8,22,12.9,4,0.976,105.9,0.918,90.1,0.058,15.8,68.6,64.6,4,1.066,0.968,0.098,0.434,0.385,0.049,0.338,0.722,0.506,0.119,0.223,0.222,-0.001,0.103,0.25
