Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
NC-Asheville,0.521,0.645,0.182,262,3.8,5.5,1.016,102.4,0.942,99,0.074,3.4,74.5,69,5.5,1.078,1.044,0.034,0.45,0.436,0.014,0.322,0.701,0.509,0.126,0.18,0.216,0.036,0.056,0.232
NC-Wilmgton,0.583,0.767,0.615,178,5.4,6.4,1.07,109.6,0.983,100.4,0.087,9.2,78.1,71.7,6.4,1.091,1.055,0.036,0.455,0.423,0.032,0.341,0.704,0.509,0.095,0.157,0.197,0.04,0.077,0.277
USC,0.58,0.636,0.667,49,6.3,6.1,1.069,112.9,0.988,98.6,0.081,14.3,80.8,74.8,6,1.095,1.01,0.085,0.457,0.418,0.039,0.385,0.678,0.511,0.084,0.162,0.163,0.001,0.083,0.221
Utah,0.641,0.781,0.778,62,19.2,8.7,1.102,114.4,0.978,97.6,0.124,16.8,77.1,68.4,8.7,1.167,0.998,0.169,0.485,0.412,0.073,0.359,0.715,0.529,0.076,0.168,0.15,-0.018,0.069,0.237
Vanderbilt,0.572,0.594,0.143,20,16.2,9.4,1.077,112.6,0.945,93.8,0.132,18.8,76.8,67.3,9.5,1.133,0.939,0.194,0.461,0.386,0.075,0.388,0.699,0.509,0.06,0.162,0.139,-0.023,0.09,0.242
VCU,0.585,0.719,0.429,91,11.2,10.2,1.072,110.9,0.93,93.9,0.142,17,77.3,67.1,10.2,1.076,1.043,0.033,0.451,0.436,0.015,0.359,0.691,0.519,0.126,0.16,0.217,0.057,0.07,0.29
Villanova,0.658,0.879,1,34,18.4,13.7,1.115,121.7,0.917,89.7,0.198,32,77.3,63.5,13.8,1.166,0.984,0.182,0.469,0.397,0.072,0.343,0.778,0.514,0.098,0.16,0.199,0.039,0.061,0.214
Virginia,0.663,0.812,0.444,2,24.4,11.2,1.132,119.5,0.954,89.9,0.178,29.6,70.8,59.6,11.2,1.163,1.038,0.125,0.491,0.419,0.072,0.408,0.753,0.529,0.088,0.149,0.193,0.044,0.059,0.261
Weber State,0.532,0.733,0.538,331,-1.5,6.2,1.058,102.3,0.971,99.8,0.087,2.5,74.9,68.8,6.1,1.157,1.002,0.155,0.473,0.424,0.049,0.361,0.673,0.525,0.066,0.194,0.153,-0.041,0.054,0.249
W Virginia,0.633,0.788,0.8,13,19.6,13.3,1.098,114.2,0.915,89.8,0.183,24.4,79.5,66.2,13.3,1.079,1.076,0.003,0.452,0.425,0.027,0.333,0.669,0.561,0.136,0.191,0.25,0.059,0.053,0.275
Wichita St,0.582,0.742,0.143,107,16,13.7,1.065,110.2,0.865,87.6,0.2,22.6,73.1,59.4,13.7,1.071,1,0.071,0.433,0.384,0.049,0.329,0.716,0.533,0.106,0.142,0.224,0.082,0.073,0.262
Wisconsin,0.585,0.625,0.4,18,15.2,4.3,1.04,109,0.975,92.4,0.065,16.6,68.9,64.6,4.3,1.061,1.042,0.019,0.43,0.429,0.001,0.358,0.707,0.523,0.089,0.165,0.184,0.019,0.06,0.243
Xavier,0.64,0.844,0.5,36,16.2,10.3,1.091,116.1,0.953,93.5,0.138,22.6,81.3,71,10.3,1.116,1.032,0.084,0.452,0.416,0.036,0.362,0.731,0.549,0.098,0.17,0.189,0.019,0.052,0.266
Yale,0.584,0.778,0.5,149,12.6,11,1.079,109.3,0.92,94.9,0.159,14.4,74.5,63.5,11,1.109,1,0.109,0.468,0.408,0.06,0.371,0.667,0.578,0.081,0.196,0.176,-0.02,0.083,0.225
Averages,0.582838235,0.710632353,0.580661765,109.4411765,10.93088235,7.5,1.072852941,111.3088235,0.9665,96.92647059,0.106352941,14.38235294,75.94558824,68.45147059,7.494117647,1.10725,1.025264706,0.081985294,0.456985294,0.419161765,0.037823529,0.362220588,0.706720588,0.520764706,0.091191176,0.165911765,0.182058824,0.016147059,0.068573529,0.256382353
